ID_SOLICITANTE,ID_EMPRESTIMO,ID_HISTORICO,ID_SOLICITANTE,IDADE_SOLICITANTE,SALARIO_ANUAL,SITUACAO_PROPRIEDADE,ANOS_TRABALHADOS,ID_EMPRESTIMO,MOTIVO,PONTUACAO,VALOR_TOTAL_EMPRESTIMO,TAXA_JUROS,POSSIBILIDADE_INADIMPLENCIA,RENDA_PERCENTUAL,ID_HISTORICO,HISTORICO_INADIMPLENTE,ANOS_CARTAO_CREDITO
JAz2tRvQ-14cy,pjEu6snv-4t33,FIgNSkrG-wen7,JAz2tRvQ-14cy,NULL,41160,Alugada,2,pjEu6snv-4t33,"Pagamento de débitos",A,6500,13.57,0,NULL,FIgNSkrG-wen7,1,2
MZSefq9m-loYS,Mfn0Csx4-LGM3,QPDJUQfQ-DJqK,MZSefq9m-loYS,22,29000,Hipotecada,5,Mfn0Csx4-LGM3,"Pagamento de débitos",B,9000,NULL,1,0.31,QPDJUQfQ-DJqK,0,4
cRItaaPB-pRvT,Ks4nz74P-z6Iq,hzAXqSDh-ay7Q,cRItaaPB-pRvT,31,19968,Alugada,1,Ks4nz74P-z6Iq,Educativo,B,2500,9.62,1,0.13,hzAXqSDh-ay7Q,0,6
5jTDCfXS-zaAq,ZFlwW08i-I3Al,LiAivrS4-J5DE,5jTDCfXS-zaAq,29,73000,Alugada,1,ZFlwW08i-I3Al,"Melhora do lar",B,5000,12.42,0,NULL,LiAivrS4-J5DE,NULL,11
Hbz9PtI3-tOFs,bFMFchcv-UwQW,PkBixMJ3-3bad,Hbz9PtI3-tOFs,29,42000,Alugada,4,bFMFchcv-UwQW,Empreendimento,G,1600,19.16,0,0.04,PkBixMJ3-3bad,1,6
iHar8HN7-1YkN,XqGa4BKn-WWe1,Sfj6mx0T-ixdS,iHar8HN7-1YkN,21,45000,Alugada,3,XqGa4BKn-WWe1,Pessoal,A,7200,9.38,0,0.16,Sfj6mx0T-ixdS,0,4
y4pEWYBn-9PvH,2ZiNj6wr-h4jF,6PQh0Hls-oRmz,y4pEWYBn-9PvH,22,72000,Própria,1,2ZiNj6wr-h4jF,Empreendimento,B,15000,10.25,0,0.21,6PQh0Hls-oRmz,0,4
F22vJa3n-H3Fq,FtCLdtPv-7cq5,ZkOy47yx-6BEW,F22vJa3n-H3Fq,23,30000,Alugada,2,FtCLdtPv-7cq5,Médico,A,6400,NULL,0,0.21,ZkOy47yx-6BEW,0,3
YMB1FWwe-bQ5H,3nWiB3gK-oN4R,GNyRaC4o-3lp4,YMB1FWwe-bQ5H,29,NULL,Hipotecada,13,3nWiB3gK-oN4R,Pessoal,,15000,15.58,1,0.19,GNyRaC4o-3lp4,1,4
t2CLBwpX-nu1u,lBEvYQ0q-Ej3C,5tHsILdx-PNcQ,t2CLBwpX-nu1u,24,81600,Alugada,5,lBEvYQ0q-Ej3C,Empreendimento,C,8000,12.84,0,0.1,5tHsILdx-PNcQ,1,2
cFzLou13-ir4E,jmmOa1kn-UuzN,rBpycq3y-N0Zk,cFzLou13-ir4E,23,20000,Alugada,6,jmmOa1kn-UuzN,Pessoal,C,4000,12.23,0,0.2,rBpycq3y-N0Zk,1,2
bYcJZ7cB-KHmQ,wUG9W3F2-wNUO,TraOHOpc-Lfs9,bYcJZ7cB-KHmQ,23,37460,Hipotecada,2,wUG9W3F2-wNUO,Educativo,C,7125,13.99,0,0.19,TraOHOpc-Lfs9,0,4
cFIgyzTQ-tNqB,78iuirmR-Me9y,FFmhefHG-Aio7,cFIgyzTQ-tNqB,22,NULL,Alugada,1,78iuirmR-Me9y,,C,25000,15.27,0,0.3,FFmhefHG-Aio7,1,3
hTrxLBIi-7loA,HZxze8S1-yhAH,0nLNyfFC-IalR,hTrxLBIi-7loA,38,40000,Alugada,19,HZxze8S1-yhAH,Empreendimento,B,12000,10.59,0,0.3,0nLNyfFC-IalR,0,11
vP3Axyrd-Yrij,1ZeY69ml-GGQu,OGTe8Gim-WaEX,vP3Axyrd-Yrij,26,48000,Hipotecada,10,1ZeY69ml-GGQu,Educativo,A,10000,7.74,0,0.21,OGTe8Gim-WaEX,0,2
L9LjxrcI-uMbB,lUJNWp9S-G0Zp,ehgZXA22-6Dic,L9LjxrcI-uMbB,22,110000,Alugada,6,lUJNWp9S-G0Zp,Médico,A,6400,9.32,0,0.06,ehgZXA22-6Dic,0,4
